name,repo,language,sloc
gpt-macro,retrage/gpt-macro,Rust,240
puppy-browser,lmt-swallow/puppy-browser,Rust,3078
lazyjj,Cretezy/lazyjj,Rust,5894
ouroboros,someguynamedjosh/ouroboros,Rust,2674
KiteSQL,KipData/KiteSQL,Rust,35118
mutagen,llogiq/mutagen,Rust,5605
semver,dtolnay/semver,Rust,2251
rust-ctrlc,Detegr/rust-ctrlc,Rust,568
hackernews-TUI,aome510/hackernews-TUI,Rust,5398
cavif-rs,kornelski/cavif-rs,Rust,1093
dbus-rs,diwic/dbus-rs,Rust,17401
magi,a16z/magi,Rust,6725
shiplift,softprops/shiplift,Rust,5441
static-assertions,nvzqz/static-assertions,Rust,730
wickdb,Fullstop000/wickdb,Rust,15307
keyring-rs,open-source-cooperative/keyring-rs,Rust,3303
serialport-rs,serialport/serialport-rs,Rust,5057
native_db,vincent-herlemont/native_db,Rust,11828
test-case,frondeus/test-case,Rust,2357
iai,bheisler/iai,Rust,425
salva,dimforge/salva,Rust,6567
pico-args,RazrFalcon/pico-args,Rust,1024
narrowlink,narrowlink/narrowlink,Rust,9587
distant,chipsenkbeil/distant,Rust,52726
pollster,zesterer/pollster,Rust,250
shadow-rs,baoyachi/shadow-rs,Rust,1941
RSA,RustCrypto/RSA,Rust,6631
ggrs,gschup/ggrs,Rust,4152
pb-jelly,dropbox/pb-jelly,Rust,18206
prsqlite,kawasin73/prsqlite,Rust,17086
noodles,zaeleus/noodles,Rust,89512
num_cpus,seanmonstar/num_cpus,Rust,802
cfg-if,rust-lang/cfg-if,Rust,154
jmap-server,stalwartlabs/jmap-server,Rust,94
dotenv,dotenv-rs/dotenv,Rust,1133
esp-idf-hal,esp-rs/esp-idf-hal,Rust,19293
MozWire,NilsIrl/MozWire,Rust,736
com-rs,microsoft/com-rs,Rust,3755
bevy_asset_loader,NiklasEi/bevy_asset_loader,Rust,5885
todo-or-die,davidpdrsn/todo-or-die,Rust,534
pb,a8m/pb,Rust,996
pdf-writer,typst/pdf-writer,Rust,9403
windows-service-rs,mullvad/windows-service-rs,Rust,2165
nanoid,mrdimidium/nanoid,Rust,191
chiselstore,chiselstrike/chiselstore,Rust,873
savage,p-e-w/savage,Rust,3144
rdbc,tokio-rs/rdbc,Rust,798
gltf,gltf-rs/gltf,Rust,9892
ReGreet,rharish101/ReGreet,Rust,2200
plotlars,alceal/plotlars,Rust,6782
termchat,lemunozm/termchat,Rust,1454
color-backtrace,athre0z/color-backtrace,Rust,732
ducker,robertpsoane/ducker,Rust,5220
vivid,sharkdp/vivid,Rust,788
Nping,hanshuaikang/Nping,Rust,1062
rust-phf,rust-phf/rust-phf,Rust,3393
cargo-udeps,est31/cargo-udeps,Rust,1650
dotenv-linter,dotenv-linter/dotenv-linter,Rust,7751
derive_more,JelteF/derive_more,Rust,29386
ureq,algesten/ureq,Rust,7863
revm,bluealloy/revm,Rust,34543
wrkflw,bahdotsh/wrkflw,Rust,13065
case-studies,dtolnay/case-studies,Rust,256
colored,colored-rs/colored,Rust,2324
git2-rs,rust-lang/git2-rs,Rust,24985
rand,rust-random/rand,Rust,9329
lopdf,J-F-Liu/lopdf,Rust,21841
jsonwebtoken,Keats/jsonwebtoken,Rust,3025
tao,tauri-apps/tao,Rust,27124
sps,alexykn/sps,Rust,18897
bumpalo,fitzgen/bumpalo,Rust,6412
cosmic-text,pop-os/cosmic-text,Rust,9352
gdrive,glotlabs/gdrive,Rust,5055
argh,google/argh,Rust,4487
reshape,fabianlindfors/reshape,Rust,6081
texlab,latex-lsp/texlab,Rust,31417
heapless,rust-embedded/heapless,Rust,10604
afl.rs,rust-fuzz/afl.rs,Rust,1163
fltk-rs,fltk-rs/fltk-rs,Rust,66571
glam-rs,bitshifter/glam-rs,Rust,177377
kibi,ilai-deutel/kibi,Rust,1629
bingrep,m4b/bingrep,Rust,2385
rustyline,kkawakam/rustyline,Rust,13307
killport,jkfran/killport,Rust,1229
macchina,Macchina-CLI/macchina,Rust,2596
windows-drivers-rs,microsoft/windows-drivers-rs,Rust,16176
mockall,asomers/mockall,Rust,11640
docker-compose-wait,ufoscout/docker-compose-wait,Rust,862
Av1an,rust-av/Av1an,Rust,12216
legion,amethyst/legion,Rust,13426
cargo-fuzz,rust-fuzz/cargo-fuzz,Rust,2674
boxxy,queer/boxxy,Rust,1881
rssbot,iovxw/rssbot,Rust,2285
oryx,pythops/oryx,Rust,8487
jql,yamafaktory/jql,Rust,2462
spacer,samwho/spacer,Rust,535
rust-ffmpeg,zmwangx/rust-ffmpeg,Rust,14707
kanal,fereidani/kanal,Rust,3058
puffin,EmbarkStudios/puffin,Rust,5052
plz-cli,m1guelpf/plz-cli,Rust,162
nutype,greyblake/nutype,Rust,10569
aigc,phodal/aigc,Rust,20
barter-rs,barter-rs/barter-rs,Rust,29183
rouille,bnjbvr/rouille,Rust,309
fontdue,mooman219/fontdue,Rust,4752
rust-peg,kevinmehall/rust-peg,Rust,7372
im-rs,bodil/im-rs,Rust,12957
gpg-tui,orhun/gpg-tui,Rust,6538
rpds,orium/rpds,Rust,10497
pdf,pdf-rs/pdf,Rust,11320
rust-smallvec,servo/rust-smallvec,Rust,3486
ropey,cessen/ropey,Rust,12975
MessAuto,LeeeSe/MessAuto,Rust,2358
pprof-rs,tikv/pprof-rs,Rust,3018
cargo-geiger,geiger-rs/cargo-geiger,Rust,7874
click,databricks/click,Rust,12224
ore-cli,regolith-labs/ore-cli,Rust,3584
surf,http-rs/surf,Rust,1629
polonius,rust-lang/polonius,Rust,5020
RustQuant,avhz/RustQuant,Rust,24740
ts-rs,Aleph-Alpha/ts-rs,Rust,7948
sea-query,SeaQL/sea-query,Rust,29370
enigo,enigo-rs/enigo,Rust,8442
rust-script,fornwall/rust-script,Rust,2856
dialoguer,console-rs/dialoguer,Rust,3451
cs431,kaist-cp/cs431,Rust,5243
rust-derive-builder,colin-kiegel/rust-derive-builder,Rust,4844
moonwalk,mufeedvh/moonwalk,Rust,458
io-uring,tokio-rs/io-uring,Rust,17867
mask,jacobdeichert/mask,Rust,1992
quote,dtolnay/quote,Rust,2208
cargo-semver-checks,obi1kenobi/cargo-semver-checks,Rust,17858
bevy-inspector-egui,jakobhellermann/bevy-inspector-egui,Rust,8351
zemeroth,ozkriff/zemeroth,Rust,12212
bevy_rapier,dimforge/bevy_rapier,Rust,13552
type-exercise-in-rust,skyzh/type-exercise-in-rust,Rust,5693
rppal,golemparts/rppal,Rust,6282
tickrs,tarkah/tickrs,Rust,5760
typetag,dtolnay/typetag,Rust,4371
quick-xml,tafia/quick-xml,Rust,34165
glow,grovesNL/glow,Rust,49015
dnspeep,jvns/dnspeep,Rust,378
rust_libloading,nagisa/rust_libloading,Rust,1430
ttyper,max-niederman/ttyper,Rust,1336
systeroid,orhun/systeroid,Rust,3899
rustle,pintariching/rustle,Rust,3
russh,Eugeny/russh,Rust,18390
yas,wormtql/yas,Rust,8331
paperback,cyphar/paperback,Rust,4117
tempfile,Stebalien/tempfile,Rust,2257
combine,Marwes/combine,Rust,14350
cargo-outdated,kbknapp/cargo-outdated,Rust,1732
tokio-uring,tokio-rs/tokio-uring,Rust,5938
bitvec,ferrilab/bitvec,Rust,20274
ferium,gorilla-devs/ferium,Rust,4799
sshs,quantumsheep/sshs,Rust,1337
netscanner,Chleba/netscanner,Rust,5518
msgpack-rust,3Hren/msgpack-rust,Rust,13450
apkeep,EFForg/apkeep,Rust,1684
markdown-rs,wooorm/markdown-rs,Rust,61337
notify-rust,hoodie/notify-rust,Rust,3441
tdf,itsjunetime/tdf,Rust,2452
nat,willdoescode/nat,Rust,642
http,hyperium/http,Rust,9501
deku,sharksforarms/deku,Rust,14913
big-brain,zkat/big-brain,Rust,3371
nats.rs,nats-io/nats.rs,Rust,32252
cargo-bundle,burtonageo/cargo-bundle,Rust,4046
octocrab,XAMPPRocky/octocrab,Rust,26110
pdfrip,mufeedvh/pdfrip,Rust,707
auto-commit,m1guelpf/auto-commit,Rust,240
binocle,sharkdp/binocle,Rust,1412
tower-lsp,ebkalderon/tower-lsp,Rust,3777
time,time-rs/time,Rust,34096
codespan,brendanzab/codespan,Rust,4383
inline-python,m-ou-se/inline-python,Rust,609
graphql-client,graphql-rust/graphql-client,Rust,6835
divan,nvzqz/divan,Rust,9415
cherrybomb,blst-security/cherrybomb,Rust,6652
nucleo,helix-editor/nucleo,Rust,6488
cgmath,rustgd/cgmath,Rust,8547
comfy-table,Nukesor/comfy-table,Rust,4637
osintui,wssheldon/osintui,Rust,3310
postcard,jamesmunns/postcard,Rust,12825
message-io,lemunozm/message-io,Rust,4837
cmd-wrapped,YiNNx/cmd-wrapped,Rust,947
darling,TedDriggs/darling,Rust,10645
inventory,dtolnay/inventory,Rust,312
num,rust-num/num,Rust,38
dotter,SuperCuber/dotter,Rust,3716
raqote,jrmuizel/raqote,Rust,3878
core-foundation-rs,servo/core-foundation-rs,Rust,19723
no-panic,dtolnay/no-panic,Rust,676
lapin,amqp-rs/lapin,Rust,10215
cargo-modules,regexident/cargo-modules,Rust,6966
hecs,Ralith/hecs,Rust,8906
fake-rs,cksac/fake-rs,Rust,16326
aho-corasick,BurntSushi/aho-corasick,Rust,12432
uom,iliekturtles/uom,Rust,16147
rust_cmd_lib,rust-shell-script/rust_cmd_lib,Rust,3239
uuid,uuid-rs/uuid,Rust,5069
rust-decimal,paupino/rust-decimal,Rust,12448
xargo,japaric/xargo,Rust,2275
foyer,foyer-rs/foyer,Rust,17515
pg_jsonschema,supabase/pg_jsonschema,Rust,187
fuse-rs,zargony/fuse-rs,Rust,2936
diskus,sharkdp/diskus,Rust,267
encrypted-dns-server,DNSCrypt/encrypted-dns-server,Rust,3058
tiny,osa1/tiny,Rust,13245
dropshot,oxidecomputer/dropshot,Rust,28032
bellman,zkcrypto/bellman,Rust,7619
oauth2-rs,ramosbugs/oauth2-rs,Rust,7311
log4rs,estk/log4rs,Rust,6526
async-raft,async-raft/async-raft,Rust,4636
arc-swap,vorner/arc-swap,Rust,2959
dune,adam-mcdaniel/dune,Rust,7025
rust-typed-builder,idanarye/rust-typed-builder,Rust,3016
riker,riker-rs/riker,Rust,5443
cargo-machete,bnjbvr/cargo-machete,Rust,1115
vgtk,bodil/vgtk,Rust,3648
paste,dtolnay/paste,Rust,1399
byteorder,BurntSushi/byteorder,Rust,2905
systemctl-tui,rgwood/systemctl-tui,Rust,1962
vst-rs,RustAudio/vst-rs,Rust,3879
langchain-rust,Abraxas-365/langchain-rust,Rust,13691
bitflags,bitflags/bitflags,Rust,4823
matchbox,johanhelsing/matchbox,Rust,5504
rust-gc,Manishearth/rust-gc,Rust,1888
multi-party-ecdsa,ZenGo-X/multi-party-ecdsa,Rust,9763
rxRust,rxRust/rxRust,Rust,10865
flate2-rs,rust-lang/flate2-rs,Rust,4535
design-patterns-rust,fadeevab/design-patterns-rust,Rust,2562
termimad,Canop/termimad,Rust,7922
density,g1mv/density,Rust,1235
lemmeknow,swanandx/lemmeknow,Rust,737
turmoil,tokio-rs/turmoil,Rust,6154
oxker,mrjackwills/oxker,Rust,12048
toml-rs,toml-rs/toml-rs,Rust,9722
solana-mev-bot,i3visio/solana-mev-bot,Rust,3838
lurk,JakWai01/lurk,Rust,3164
MIRAI,facebookexperimental/MIRAI,Rust,39458
dasp,RustAudio/dasp,Rust,6554
casbin-rs,casbin/casbin-rs,Rust,9658
serde-yaml,dtolnay/serde-yaml,Rust,10445
noise-rs,Razaekel/noise-rs,Rust,8450
tower,tower-rs/tower,Rust,9409
orbtk,redox-os/orbtk,Rust,23104
rust-postgres,sfackler/rust-postgres,Rust,19397
crossterm,crossterm-rs/crossterm,Rust,8737
floem,lapce/floem,Rust,47932
ron,ron-rs/ron,Rust,23493
chrono,chronotope/chrono,Rust,20197
dashmap,xacrimon/dashmap,Rust,3202
Findomain,Findomain/Findomain,Rust,2896
rkyv,rkyv/rkyv,Rust,25736
timely-dataflow,TimelyDataflow/timely-dataflow,Rust,11569
rls,rust-lang/rls,Rust,27521
too-many-lists,rust-unofficial/too-many-lists,Rust,834
oxipng,oxipng/oxipng,Rust,8821
kube,kube-rs/kube,Rust,23925
racer,racer-rust/racer,Rust,16225
silicon,Aloxaf/silicon,Rust,1895
utoipa,juhaku/utoipa,Rust,35374
raft-rs,tikv/raft-rs,Rust,16878
gobang,TaKO8Ki/gobang,Rust,8024
parking_lot,Amanieu/parking_lot,Rust,10098
i3status-rust,greshake/i3status-rust,Rust,17812
csvlens,YS-L/csvlens,Rust,6780
itertools,rust-itertools/itertools,Rust,15392
ATAC,Julien-cpsn/ATAC,Rust,11414
cargo-expand,dtolnay/cargo-expand,Rust,1316
viu,atanunq/viu,Rust,369
bastion,bastion-rs/bastion,Rust,12451
differential-dataflow,TimelyDataflow/differential-dataflow,Rust,29183
hashbrown,rust-lang/hashbrown,Rust,11679
flume,zesterer/flume,Rust,6026
inkwell,TheDan64/inkwell,Rust,22291
hora,hora-search/hora,Rust,4232
cargo-bloat,RazrFalcon/cargo-bloat,Rust,1386
arpchat,kognise/arpchat,Rust,976
rustic,rustic-rs/rustic,Rust,9017
erdtree,solidiquis/erdtree,Rust,4875
shadow-tls,ihciah/shadow-tls,Rust,3142
loom,tokio-rs/loom,Rust,7038
fleet,suptejas/fleet,Rust,1731
log,rust-lang/log,Rust,3763
ntex,ntex-rs/ntex,Rust,60545
embedded-hal,rust-embedded/embedded-hal,Rust,2993
inquire,mikaelmello/inquire,Rust,10674
avian,Jondolf/avian,Rust,31487
validator,Keats/validator,Rust,6211
miette,zkat/miette,Rust,13866
percy,chinedufn/percy,Rust,11409
cargo-chef,LukeMathWalker/cargo-chef,Rust,2583
vega,rajasekarv/vega,Rust,11334
tabled,zhiburt/tabled,Rust,63763
river,memorysafety/river,Rust,2638
tabiew,shshemi/tabiew,Rust,8504
vnt,vnt-dev/vnt,Rust,17538
tokio-tungstenite,snapview/tokio-tungstenite,Rust,1506
scraper,rust-scraper/scraper,Rust,1783
may,Xudong-Huang/may,Rust,15497
tungstenite-rs,snapview/tungstenite-rs,Rust,4903
BetterNCM-Installer,std-microblock/BetterNCM-Installer,Rust,6779
ytop,cjbassi/ytop,Rust,2175
indexmap,indexmap-rs/indexmap,Rust,10704
strum,Peternator7/strum,Rust,4969
Krakatau,Storyyeller/Krakatau,Rust,6820
hashes,RustCrypto/hashes,Rust,17369
bytes,tokio-rs/bytes,Rust,6993
moka,moka-rs/moka,Rust,23485
linkerd2-proxy,linkerd/linkerd2-proxy,Rust,74869
glutin,rust-windowing/glutin,Rust,8637
rodio,RustAudio/rodio,Rust,10369
async-trait,dtolnay/async-trait,Rust,2445
cargo-deny,EmbarkStudios/cargo-deny,Rust,14457
ariadne,zesterer/ariadne,Rust,2800
lazy-static.rs,rust-lang-nursery/lazy-static.rs,Rust,336
cacao,ryanmcgrath/cacao,Rust,14953
once_cell,matklad/once_cell,Rust,2382
left-right,jonhoo/left-right,Rust,1029
calamine,tafia/calamine,Rust,11260
awesome-rust,rust-unofficial/awesome-rust,Rust,270
meilisearch,meilisearch/meilisearch,Rust,171385
tokio,tokio-rs/tokio,Rust,87138
Rust,TheAlgorithms/Rust,Rust,31528
pingora,cloudflare/pingora,Rust,41130
Bend,HigherOrderCO/Bend,Rust,14274
spotify-tui,Rigellute/spotify-tui,Rust,10824
universal-android-debloater,0x192/universal-android-debloater,Rust,3827
rayon,rayon-rs/rayon,Rust,28032
edit,microsoft/edit,Rust,17402
gping,orf/gping,Rust,1470
rathole,rathole-org/rathole,Rust,3679
bandwhich,imsnif/bandwhich,Rust,4479
tui-rs,fdehau/tui-rs,Rust,17402
spotifyd,Spotifyd/spotifyd,Rust,2700
warp,seanmonstar/warp,Rust,9305
serde,serde-rs/serde,Rust,31581
hexyl,sharkdp/hexyl,Rust,2580
nom,rust-bakery/nom,Rust,17650
min-sized-rust,johnthagen/min-sized-rust,Rust,79
psst,jpochyla/psst,Rust,21562
actix,actix/actix,Rust,8973
100-exercises-to-learn-rust,mainmatter/100-exercises-to-learn-rust,Rust,4652
websocat,vi/websocat,Rust,10060
youki,youki-dev/youki,Rust,34354
iroh,n0-computer/iroh,Rust,29822
anyhow,dtolnay/anyhow,Rust,4302
pastel,sharkdp/pastel,Rust,5737
futures-rs,rust-lang/futures-rs,Rust,29870
jnv,ynqa/jnv,Rust,1893
flamegraph,flamegraph-rs/flamegraph,Rust,427
image,image-rs/image,Rust,28033
json,serde-rs/json,Rust,16434
tealdeer,tealdeer-rs/tealdeer,Rust,2935
WASI,WebAssembly/WASI,Rust,5357
tide,http-rs/tide,Rust,5022
jless,PaulJuliusMartinez/jless,Rust,8597
thiserror,dtolnay/thiserror,Rust,4192
indicatif,console-rs/indicatif,Rust,6801
leo,ProvableHQ/leo,Rust,36238
rhai,rhaiscript/rhai,Rust,53091
rapier,dimforge/rapier,Rust,40452
webrtc,webrtc-rs/webrtc,Rust,115730
monoio,bytedance/monoio,Rust,21934
proc-macro-workshop,dtolnay/proc-macro-workshop,Rust,789
quinn,quinn-rs/quinn,Rust,30795
smol,smol-rs/smol,Rust,1085
mini-redis,tokio-rs/mini-redis,Rust,2049
plotters,plotters-rs/plotters,Rust,18280
async-std,async-rs/async-std,Rust,15497
svgbob,ivanceras/svgbob,Rust,9358
ndarray,rust-ndarray/ndarray,Rust,30234
