name,Has Tests (static),Tests in CI (configured),Tests in CI (recent runs),Coverage in CI (configured),Coverage Tool (configured),Test Tool (guess),Test Evidence,Coverage Latest (%),Coverage Mean (%),Coverage Best (%),Coverage Samples,Method,Latest Run ID,Latest Run Date
vim-markdown-composer,Yes,Yes,No,Yes,cargo,cargo,files/workflow,,,,0,,,
rustybuzz,Yes,Yes,No,No,,cargo,files/workflow,,,,0,,15543976848,2025-06-09T20:29:32Z
reverie,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,17506745917,2025-09-05T23:31:36Z
pikelet,Yes,Yes,No,Yes,cargo,cargo,files/workflow,,,,0,,,
system76-power,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,17329485572,2025-08-29T16:46:26Z
hyperlight-wasm,No,Yes,No,Yes,upload-artifact,,workflow,,,,0,,17633693080,2025-09-11T04:06:45Z
percival,No,Yes,No,No,,cargo,workflow,,,,0,,,
cumulus,Yes,Yes,No,Yes,upload-artifact,cargo,files/workflow,,,,0,,,
hoard,No,Yes,No,No,,cargo,workflow,,,,0,,,
unicode-segmentation,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,16562098772,2025-07-28T06:45:44Z
goldboot,No,Yes,Yes,Yes,cargo/codecov/upload-artifact,cargo,files/jobs/workflow,,,,0,,16209447445,2025-07-11T01:08:34Z
emacs-lsp-booster,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,12654578406,2025-01-07T15:49:40Z
wastebin,No,Yes,No,No,,cargo,workflow,,,,0,,17526276199,2025-09-07T08:42:36Z
magicpak,No,Yes,No,Yes,upload-artifact,cargo,workflow,,,,0,,,
python-launcher,Yes,No,Yes,Yes,cargo,cargo,files/jobs/workflow,,,,0,,17601810892,2025-09-10T03:00:43Z
tlrc,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,17622824597,2025-09-10T18:10:33Z
yourcontrols,No,No,No,Yes,cargo/upload-artifact,,workflow,,,,0,,13623451829,2025-03-03T04:32:03Z
typstyle,Yes,Yes,No,Yes,llvm-tools/upload-artifact,jest,files/workflow,,,,0,,17540951982,2025-09-08T05:41:15Z
atsamd,No,No,No,Yes,upload-artifact,,workflow,,,,0,,17562145067,2025-09-08T19:41:45Z
Kindelia,Yes,Yes,No,Yes,cargo,go,files/workflow,,,,0,,,
stm32f1xx-hal,No,Yes,No,Yes,cargo,cargo,workflow,,,,0,,17572022890,2025-09-09T04:44:20Z
tmux-sessionizer,Yes,No,Yes,Yes,upload-artifact,cargo,files/jobs/workflow,,,,0,,17100525505,2025-08-20T13:54:39Z
solo2,Yes,No,No,Yes,upload-artifact,cargo,files/workflow,,,,0,,,
stronghold.rs,Yes,Yes,No,Yes,cargo/coveralls/upload-artifact,cargo,files/workflow,,,,0,,17629922323,2025-09-11T00:03:38Z
sdk,No,Yes,Yes,No,,,jobs/workflow,,,,0,,17600812354,2025-09-10T02:01:57Z
huak,No,Yes,No,Yes,upload-artifact,cargo,workflow,,,,0,,,
parallel-disk-usage,Yes,Yes,Yes,Yes,upload-artifact,cargo,files/jobs/workflow,,,,0,,17566807694,2025-09-08T23:20:08Z
espflash,No,Yes,Yes,Yes,upload-artifact,cargo,jobs/workflow,,,,0,,17615475650,2025-09-10T13:32:38Z
godot-rapier-physics,No,Yes,Yes,Yes,upload-artifact,cargo,jobs/workflow,,,,0,,17641510522,2025-09-11T10:20:28Z
glyphon,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,17285071618,2025-08-28T03:39:04Z
cosmic-comp,No,Yes,Yes,Yes,cargo,cargo,jobs/workflow,,,,0,,17628310680,2025-09-10T22:20:17Z
xbuild,No,Yes,No,Yes,upload-artifact,cargo,workflow,,,,0,,17574100681,2025-09-09T06:41:00Z
parquet-wasm,Yes,Yes,Yes,Yes,upload-artifact,jest,files/jobs/workflow,,,,0,,17564182840,2025-09-08T21:09:08Z
Ebou,No,Yes,No,No,,cargo,workflow,,,,0,,,
similarity,Yes,Yes,Yes,Yes,codecov/llvm-cov/llvm-tools/report-file,cargo,files/jobs/workflow,,,,0,,16971406607,2025-08-14T16:50:07Z
