Project,Repo URL,Created At,First CI Run Date,Time to First CI (months),Active Period (months),Total PRs,Total Issues,Contributors,Workflows Used,Workflow Runs (Success),Workflow Runs (Failure)
davidpdrsn/todo-or-die,https://github.com/davidpdrsn/davidpdrsn/todo-or-die,2021-09-05T14:31:51Z,,,48,3,5,1,No,0,0
a8m/pb,https://github.com/a8m/a8m/pb,2015-10-14T19:08:31Z,,,118,71,53,28,No,0,0
NiklasEi/bevy_asset_loader,https://github.com/NiklasEi/NiklasEi/bevy_asset_loader,2021-05-16T20:32:22Z,2024-07-15,38,51,110,146,22,Yes,45,31
mullvad/windows-service-rs,https://github.com/mullvad/mullvad/windows-service-rs,2018-05-22T12:32:44Z,2024-09-09,76,87,95,46,32,Yes,19,3
mrdimidium/nanoid,https://github.com/mrdimidium/mrdimidium/nanoid,2017-12-26T18:31:40Z,,,92,25,14,17,No,0,0
chiselstrike/chiselstore,https://github.com/chiselstrike/chiselstrike/chiselstore,2021-11-12T16:06:47Z,,,45,17,24,3,No,0,0
p-e-w/savage,https://github.com/p-e-w/p-e-w/savage,2021-11-28T06:31:25Z,,,45,32,14,2,No,0,0
typst/pdf-writer,https://github.com/typst/typst/pdf-writer,2020-11-16T22:57:36Z,2024-08-06,45,57,45,18,13,Yes,129,14
tokio-rs/rdbc,https://github.com/tokio-rs/tokio-rs/rdbc,2019-12-15T19:38:50Z,,,68,30,39,5,No,0,0
gltf-rs/gltf,https://github.com/gltf-rs/gltf-rs/gltf,2016-11-13T09:55:26Z,2024-07-23,92,105,247,213,63,Yes,8,7
rharish101/ReGreet,https://github.com/rharish101/rharish101/ReGreet,2022-12-01T10:01:22Z,2024-08-03,20,33,34,82,11,Yes,55,8
lemunozm/termchat,https://github.com/lemunozm/lemunozm/termchat,2020-08-17T22:46:56Z,,,60,36,23,6,No,0,0
athre0z/color-backtrace,https://github.com/athre0z/athre0z/color-backtrace,2019-04-18T17:14:16Z,2024-09-01,64,76,20,31,10,Yes,14,5
alceal/plotlars,https://github.com/alceal/alceal/plotlars,2024-07-27T09:58:09Z,2024-08-29,1,13,43,19,7,Yes,138,11
sharkdp/vivid,https://github.com/sharkdp/sharkdp/vivid,2018-11-19T21:57:40Z,2024-09-30,70,81,85,80,51,Yes,27,0
hanshuaikang/Nping,https://github.com/hanshuaikang/hanshuaikang/Nping,2024-12-21T14:51:14Z,2024-12-28,0,8,42,56,2,Yes,115,2
rust-phf/rust-phf,https://github.com/rust-phf/rust-phf/rust-phf,2014-01-17T07:23:04Z,2024-07-19,126,139,220,128,72,Yes,65,28
esp-rs/esp-idf-hal,https://github.com/esp-rs/esp-rs/esp-idf-hal,2020-11-23T06:16:08Z,2024-07-14,44,57,274,263,105,Yes,687,604
est31/cargo-udeps,https://github.com/est31/est31/cargo-udeps,2019-08-26T20:10:57Z,2024-07-22,59,72,193,116,33,Yes,313,6
robertpsoane/ducker,https://github.com/robertpsoane/robertpsoane/ducker,2024-06-15T06:32:11Z,2024-07-14,1,14,186,16,9,Yes,653,48
pradt2/always-online-stun,https://github.com/pradt2/pradt2/always-online-stun,2021-11-17T12:35:39Z,2024-07-14,32,45,3,19,4,Yes,7135,2080
JelteF/derive_more,https://github.com/JelteF/JelteF/derive_more,2016-03-24T09:38:18Z,2024-07-19,100,113,235,260,69,Yes,580,98
dotenv-linter/dotenv-linter,https://github.com/dotenv-linter/dotenv-linter/dotenv-linter,2019-11-30T15:15:55Z,2024-07-15,55,69,674,218,89,Yes,870,153
bahdotsh/wrkflw,https://github.com/bahdotsh/bahdotsh/wrkflw,2025-03-29T07:25:48Z,2025-04-14,1,5,26,30,6,Yes,185,44
RustCrypto/traits,https://github.com/RustCrypto/RustCrypto/traits,2017-03-20T17:24:37Z,2024-07-15,88,101,1717,251,66,Yes,8212,347
colored-rs/colored,https://github.com/colored-rs/colored-rs/colored,2016-03-12T23:06:49Z,2024-07-15,100,114,110,95,44,Yes,33,24
dtolnay/case-studies,https://github.com/dtolnay/dtolnay/case-studies,2019-05-11T03:13:53Z,2024-07-15,62,76,9,11,2,Yes,415,1
rust-lang/git2-rs,https://github.com/rust-lang/rust-lang/git2-rs,2014-08-01T22:30:49Z,2024-07-18,120,133,663,518,269,Yes,144,47
algesten/ureq,https://github.com/algesten/algesten/ureq,2018-06-10T18:43:13Z,2024-07-14,73,87,701,385,112,Yes,694,254
Keats/jsonwebtoken,https://github.com/Keats/Keats/jsonwebtoken,2015-11-01T22:35:34Z,2024-08-20,106,118,209,225,79,Yes,6,11
J-F-Liu/lopdf,https://github.com/J-F-Liu/J-F-Liu/lopdf,2016-12-13T05:05:53Z,2024-08-05,92,104,222,222,75,Yes,177,33
fitzgen/bumpalo,https://github.com/fitzgen/fitzgen/bumpalo,2018-11-20T01:04:24Z,2024-09-07,70,81,160,126,60,Yes,30,8
alexykn/sps,https://github.com/alexykn/alexykn/sps,2025-04-12T09:12:20Z,2025-04-20,0,5,40,23,12,Yes,362,32
glotlabs/gdrive,https://github.com/glotlabs/glotlabs/gdrive,2022-12-29T15:36:30Z,,,32,22,130,6,No,0,0
google/argh,https://github.com/google/google/argh,2020-01-30T20:19:33Z,2024-12-20,59,67,98,105,41,Yes,9,10
pop-os/cosmic-text,https://github.com/pop-os/pop-os/cosmic-text,2022-10-18T18:07:53Z,2024-07-20,21,34,218,173,63,Yes,119,141
fabianlindfors/reshape,https://github.com/fabianlindfors/fabianlindfors/reshape,2021-10-19T14:31:49Z,2024-09-29,35,46,17,19,6,Yes,4,0
rust-random/rand,https://github.com/rust-random/rust-random/rand,2015-02-03T05:59:32Z,2024-07-16,113,127,1003,643,301,Yes,1020,211
latex-lsp/texlab,https://github.com/latex-lsp/latex-lsp/texlab,2018-12-21T13:08:47Z,2024-07-15,67,80,989,427,35,Yes,539,64
rust-embedded/heapless,https://github.com/rust-embedded/rust-embedded/heapless,2017-03-05T05:32:09Z,2024-07-14,88,102,416,186,111,Yes,636,220
rust-fuzz/afl.rs,https://github.com/rust-fuzz/rust-fuzz/afl.rs,2015-04-08T23:19:35Z,2024-07-14,111,125,498,143,43,Yes,387,37
tauri-apps/tao,https://github.com/tauri-apps/tauri-apps/tao,2021-05-03T02:40:47Z,2024-07-15,38,52,808,296,404,Yes,1221,166
m4b/bingrep,https://github.com/m4b/m4b/bingrep,2017-02-26T09:21:23Z,,,102,11,32,7,No,0,0
vincent-herlemont/native_db,https://github.com/vincent-herlemont/vincent-herlemont/native_db,2023-05-09T19:14:39Z,2024-07-15,14,28,350,67,18,Yes,4997,894
jkfran/killport,https://github.com/jkfran/jkfran/killport,2023-03-17T14:21:02Z,2024-12-09,21,29,29,15,10,Yes,7,1
Macchina-CLI/macchina,https://github.com/Macchina-CLI/Macchina-CLI/macchina,2021-01-08T22:35:23Z,2024-07-28,43,56,175,144,27,Yes,30,26
kkawakam/rustyline,https://github.com/kkawakam/kkawakam/rustyline,2015-03-20T03:13:04Z,2024-07-20,112,125,592,296,72,Yes,173,36
asomers/mockall,https://github.com/asomers/asomers/mockall,2019-02-07T22:59:28Z,2024-07-14,65,79,278,322,33,Yes,0,29
ufoscout/docker-compose-wait,https://github.com/ufoscout/ufoscout/docker-compose-wait,2016-11-30T17:48:49Z,2024-07-27,92,105,40,39,12,Yes,1,4
bitshifter/glam-rs,https://github.com/bitshifter/bitshifter/glam-rs,2018-10-09T12:20:03Z,2024-07-14,69,83,356,252,103,Yes,852,104
amethyst/legion,https://github.com/amethyst/amethyst/legion,2019-03-09T03:17:06Z,,,78,123,176,46,No,0,0
rust-fuzz/cargo-fuzz,https://github.com/rust-fuzz/rust-fuzz/cargo-fuzz,2017-02-21T04:04:56Z,2024-07-16,89,102,201,210,82,Yes,49,16
fltk-rs/fltk-rs,https://github.com/fltk-rs/fltk-rs/fltk-rs,2019-10-24T16:44:19Z,2024-07-14,57,70,770,380,46,Yes,1224,36
iovxw/rssbot,https://github.com/iovxw/iovxw/rssbot,2017-02-18T09:25:04Z,2024-09-24,91,102,380,104,8,Yes,74,18
ilai-deutel/kibi,https://github.com/ilai-deutel/ilai-deutel/kibi,2020-02-10T07:44:48Z,2024-07-15,53,67,372,37,32,Yes,1150,102
queer/boxxy,https://github.com/queer/queer/boxxy,2023-02-08T21:16:54Z,2024-07-19,17,31,231,45,8,Yes,121,63
yamafaktory/jql,https://github.com/yamafaktory/yamafaktory/jql,2018-09-02T20:42:42Z,2024-09-23,73,84,241,53,23,Yes,53,2
samwho/spacer,https://github.com/samwho/samwho/spacer,2023-06-10T18:00:03Z,2025-01-10,19,27,13,20,7,Yes,20,17
pythops/oryx,https://github.com/pythops/pythops/oryx,2024-09-01T17:28:50Z,2024-09-01,0,12,37,28,4,Yes,344,90
zmwangx/rust-ffmpeg,https://github.com/zmwangx/zmwangx/rust-ffmpeg,2018-09-13T21:42:02Z,2024-07-03,70,83,94,105,35,Yes,119,315
greyblake/nutype,https://github.com/greyblake/greyblake/nutype,2022-10-09T20:44:18Z,2024-07-29,22,35,122,93,13,Yes,81,21
EmbarkStudios/puffin,https://github.com/EmbarkStudios/EmbarkStudios/puffin,2020-08-10T09:03:31Z,2024-07-15,47,61,193,65,40,Yes,91,97
barter-rs/barter-rs,https://github.com/barter-rs/barter-rs/barter-rs,2022-10-09T16:39:34Z,2024-07-22,21,35,136,78,8,Yes,22,7
bnjbvr/rouille,https://github.com/bnjbvr/bnjbvr/rouille,2021-09-09T17:51:04Z,2024-11-04,38,48,69,12,53,Yes,13,0
mooman219/fontdue,https://github.com/mooman219/mooman219/fontdue,2019-08-01T21:34:19Z,2024-11-12,63,73,59,103,29,Yes,14,6
kevinmehall/rust-peg,https://github.com/kevinmehall/kevinmehall/rust-peg,2013-08-19T01:18:13Z,2024-07-21,131,144,139,239,55,Yes,31,7
bodil/im-rs,https://github.com/bodil/bodil/im-rs,2017-04-17T15:04:02Z,2024-07-15,87,100,98,120,41,Yes,0,27
rust-av/Av1an,https://github.com/rust-av/rust-av/Av1an,2020-01-07T22:49:55Z,2024-07-23,55,68,688,434,71,Yes,914,212
orium/rpds,https://github.com/orium/orium/rpds,2017-07-06T09:06:16Z,2024-07-17,84,98,39,62,11,Yes,166,5
pdf-rs/pdf,https://github.com/pdf-rs/pdf-rs/pdf,2016-12-11T11:00:01Z,2024-08-02,92,105,119,139,47,Yes,16,9
cessen/ropey,https://github.com/cessen/cessen/ropey,2017-12-07T02:29:51Z,2024-08-29,81,93,41,68,14,Yes,13,7
servo/rust-smallvec,https://github.com/servo/servo/rust-smallvec,2015-04-05T21:42:27Z,2024-07-27,112,125,269,118,92,Yes,54,25
LeeeSe/MessAuto,https://github.com/LeeeSe/LeeeSe/MessAuto,2022-12-15T06:50:56Z,2025-08-18,32,32,20,76,4,Yes,14,2
fereidani/kanal,https://github.com/fereidani/fereidani/kanal,2022-07-13T12:23:47Z,2024-07-15,24,37,16,43,10,Yes,1262,10
databricks/click,https://github.com/databricks/databricks/click,2017-07-07T23:50:56Z,2025-08-21,97,98,140,89,15,Yes,9,2
regolith-labs/ore-cli,https://github.com/regolith-labs/regolith-labs/ore-cli,2024-01-07T15:27:38Z,2024-07-18,6,20,118,67,23,Yes,13,35
http-rs/surf,https://github.com/http-rs/http-rs/surf,2019-07-07T09:48:40Z,,,74,178,188,43,No,0,0
tikv/pprof-rs,https://github.com/tikv/tikv/pprof-rs,2019-10-21T06:36:07Z,2024-11-07,61,70,193,86,36,Yes,158,29
rust-lang/polonius,https://github.com/rust-lang/rust-lang/polonius,2018-05-01T15:40:59Z,2025-06-06,85,88,149,52,26,Yes,2,1
Aleph-Alpha/ts-rs,https://github.com/Aleph-Alpha/Aleph-Alpha/ts-rs,2020-12-15T14:21:32Z,2024-07-15,43,56,224,179,51,Yes,195,52
orhun/gpg-tui,https://github.com/orhun/orhun/gpg-tui,2020-12-26T16:28:59Z,2024-07-18,43,56,313,52,15,Yes,544,362
geiger-rs/cargo-geiger,https://github.com/geiger-rs/geiger-rs/cargo-geiger,2018-06-20T21:43:55Z,2024-07-15,73,86,404,136,37,Yes,286,437
fornwall/rust-script,https://github.com/fornwall/fornwall/rust-script,2020-10-24T21:00:13Z,2024-09-03,46,58,75,80,29,Yes,42,35
console-rs/dialoguer,https://github.com/console-rs/console-rs/dialoguer,2017-05-09T14:04:17Z,2025-08-22,99,100,176,155,76,Yes,15,5
kaist-cp/cs431,https://github.com/kaist-cp/kaist-cp/cs431,2019-06-20T01:18:09Z,2024-07-15,61,74,27,945,12,Yes,38,1
avhz/RustQuant,https://github.com/avhz/avhz/RustQuant,2022-08-31T10:03:24Z,2024-07-14,22,36,169,125,45,Yes,359,420
mufeedvh/moonwalk,https://github.com/mufeedvh/mufeedvh/moonwalk,2021-12-19T11:24:00Z,,,44,5,7,2,No,0,0
colin-kiegel/rust-derive-builder,https://github.com/colin-kiegel/colin-kiegel/rust-derive-builder,2016-08-06T15:03:46Z,2024-07-16,95,109,147,199,36,Yes,87,27
jacobdeichert/mask,https://github.com/jacobdeichert/jacobdeichert/mask,2019-07-06T20:47:44Z,2024-07-18,60,74,52,66,16,Yes,29,3
tokio-rs/io-uring,https://github.com/tokio-rs/tokio-rs/io-uring,2019-10-11T16:55:33Z,2024-07-21,57,71,214,145,58,Yes,104,25
dtolnay/quote,https://github.com/dtolnay/dtolnay/quote,2016-09-03T05:34:45Z,2024-07-15,94,108,130,167,25,Yes,452,15
SeaQL/sea-query,https://github.com/SeaQL/SeaQL/sea-query,2020-12-16T03:44:23Z,2024-07-18,43,56,558,305,118,Yes,532,195
ozkriff/zemeroth,https://github.com/ozkriff/ozkriff/zemeroth,2017-07-12T09:28:19Z,,,98,334,357,16,No,0,0
jakobhellermann/bevy-inspector-egui,https://github.com/jakobhellermann/jakobhellermann/bevy-inspector-egui,2021-01-18T08:39:24Z,2024-07-19,42,55,119,156,70,Yes,54,44
skyzh/type-exercise-in-rust,https://github.com/skyzh/skyzh/type-exercise-in-rust,2022-01-20T14:11:37Z,,,43,12,3,6,No,0,0
golemparts/rppal,https://github.com/golemparts/golemparts/rppal,2017-03-01T15:16:36Z,2024-08-08,89,102,48,120,25,Yes,57,0
tarkah/tickrs,https://github.com/tarkah/tarkah/tickrs,2020-02-20T00:37:35Z,2025-02-19,60,66,78,74,9,Yes,19,12
dimforge/bevy_rapier,https://github.com/dimforge/dimforge/bevy_rapier,2020-08-24T16:20:27Z,2024-07-15,47,60,329,305,73,Yes,269,169
dtolnay/typetag,https://github.com/dtolnay/dtolnay/typetag,2019-01-21T08:14:33Z,2024-07-15,66,79,39,60,8,Yes,475,18
tafia/quick-xml,https://github.com/tafia/tafia/quick-xml,2016-01-27T11:37:44Z,2024-07-15,102,115,440,455,126,Yes,240,50
grovesNL/glow,https://github.com/grovesNL/grovesNL/glow,2018-12-28T17:06:08Z,2024-07-16,67,80,217,131,70,Yes,89,8
jvns/dnspeep,https://github.com/jvns/jvns/dnspeep,2021-03-28T17:59:46Z,,,53,12,19,7,No,0,0
nagisa/rust_libloading,https://github.com/nagisa/nagisa/rust_libloading,2015-11-07T19:31:57Z,2024-07-20,104,118,74,106,35,Yes,8,22
max-niederman/ttyper,https://github.com/max-niederman/max-niederman/ttyper,2021-02-15T01:30:59Z,2024-08-07,42,54,72,85,41,Yes,35,2
orhun/systeroid,https://github.com/orhun/orhun/systeroid,2021-10-17T21:44:27Z,2024-07-21,33,46,171,16,8,Yes,148,53
wormtql/yas,https://github.com/wormtql/wormtql/yas,2021-10-06T08:10:53Z,2024-07-27,34,47,49,170,21,Yes,1,10
enigo-rs/enigo,https://github.com/enigo-rs/enigo-rs/enigo,2017-01-27T21:29:02Z,2024-07-15,90,103,276,193,49,Yes,1310,293
Stebalien/tempfile,https://github.com/Stebalien/Stebalien/tempfile,2015-04-12T20:21:14Z,2024-07-22,111,125,235,133,75,Yes,278,92
Marwes/combine,https://github.com/Marwes/Marwes/combine,2015-01-12T11:04:51Z,2025-01-10,120,127,207,163,61,Yes,4,0
Eugeny/russh,https://github.com/Eugeny/Eugeny/russh,2022-02-07T22:04:56Z,2024-07-16,29,43,331,205,80,Yes,793,131
kbknapp/cargo-outdated,https://github.com/kbknapp/kbknapp/cargo-outdated,2015-08-03T01:39:00Z,2024-07-22,108,121,214,206,67,Yes,23,35
tokio-rs/tokio-uring,https://github.com/tokio-rs/tokio-rs/tokio-uring,2021-03-30T17:48:00Z,2024-07-17,40,53,215,101,32,Yes,4,6
ferrilab/bitvec,https://github.com/ferrilab/ferrilab/bitvec,2018-06-28T06:26:44Z,,,86,87,203,34,No,0,0
gorilla-devs/ferium,https://github.com/gorilla-devs/gorilla-devs/ferium,2021-09-04T11:08:48Z,2024-08-09,35,48,57,376,15,Yes,17,23
quantumsheep/sshs,https://github.com/quantumsheep/quantumsheep/sshs,2022-01-31T23:57:33Z,2024-08-13,30,43,38,79,11,Yes,32,11
3Hren/msgpack-rust,https://github.com/3Hren/3Hren/msgpack-rust,2015-03-20T11:09:01Z,2025-02-05,119,125,157,212,46,Yes,0,2
Chleba/netscanner,https://github.com/Chleba/Chleba/netscanner,2023-12-10T16:27:52Z,2024-08-07,8,21,12,38,11,Yes,39,3
obi1kenobi/cargo-semver-checks,https://github.com/obi1kenobi/obi1kenobi/cargo-semver-checks,2022-07-13T00:19:33Z,2024-07-15,24,38,997,382,64,Yes,1495,359
EFForg/apkeep,https://github.com/EFForg/EFForg/apkeep,2021-04-27T03:49:42Z,2024-10-02,41,52,133,77,7,Yes,14,0
itsjunetime/tdf,https://github.com/itsjunetime/itsjunetime/tdf,2024-05-26T22:59:25Z,2024-11-20,6,15,15,84,6,Yes,49,37
wooorm/markdown-rs,https://github.com/wooorm/wooorm/markdown-rs,2022-06-08T13:53:33Z,2024-08-01,26,39,64,109,17,Yes,87,21
willdoescode/nat,https://github.com/willdoescode/willdoescode/nat,2020-10-22T04:56:31Z,,,58,19,55,14,No,0,0
hyperium/http,https://github.com/hyperium/hyperium/http,2017-03-14T18:21:23Z,2024-08-07,89,101,466,309,122,Yes,71,4
zkat/big-brain,https://github.com/zkat/zkat/big-brain,2020-07-11T01:08:31Z,2024-07-14,48,62,59,59,27,Yes,11,5
hoodie/notify-rust,https://github.com/hoodie/hoodie/notify-rust,2015-05-20T22:29:24Z,2024-08-01,110,123,143,94,34,Yes,214,40
burtonageo/cargo-bundle,https://github.com/burtonageo/burtonageo/cargo-bundle,2016-01-10T21:30:16Z,2024-08-15,103,116,110,102,40,Yes,47,16
cyphar/paperback,https://github.com/cyphar/cyphar/paperback,2017-11-29T00:07:49Z,2024-06-27,79,93,162,26,3,Yes,1230,62
mufeedvh/pdfrip,https://github.com/mufeedvh/mufeedvh/pdfrip,2022-02-11T12:54:11Z,2024-12-27,34,42,19,44,8,Yes,1,1
m1guelpf/auto-commit,https://github.com/m1guelpf/m1guelpf/auto-commit,2022-10-30T17:09:58Z,,,34,10,14,5,No,0,0
sharkdp/binocle,https://github.com/sharkdp/sharkdp/binocle,2021-09-13T05:29:46Z,2025-01-01,40,47,17,51,15,Yes,2,2
ebkalderon/tower-lsp,https://github.com/ebkalderon/ebkalderon/tower-lsp,2019-09-02T02:54:56Z,,,72,333,88,22,No,0,0
XAMPPRocky/octocrab,https://github.com/XAMPPRocky/XAMPPRocky/octocrab,2020-04-30T08:13:03Z,2024-06-20,50,64,531,232,202,Yes,302,48
time-rs/time,https://github.com/time-rs/time-rs/time,2014-11-10T22:52:18Z,2024-07-15,116,130,261,404,70,Yes,106,36
m-ou-se/inline-python,https://github.com/m-ou-se/m-ou-se/inline-python,2019-04-17T10:40:19Z,2025-02-12,70,76,24,48,8,Yes,17,6
nats-io/nats.rs,https://github.com/nats-io/nats-io/nats.rs,2020-02-24T19:51:25Z,2024-06-27,52,66,1078,312,97,Yes,333,132
brendanzab/codespan,https://github.com/brendanzab/brendanzab/codespan,2018-02-20T02:11:13Z,2025-02-05,84,90,283,110,41,Yes,140,39
nvzqz/divan,https://github.com/nvzqz/nvzqz/divan,2023-06-30T05:01:57Z,2024-11-01,16,26,26,50,9,Yes,21,6
blst-security/cherrybomb,https://github.com/blst-security/blst-security/cherrybomb,2021-11-17T07:02:22Z,2024-10-16,35,45,94,65,17,Yes,0,3
rustgd/cgmath,https://github.com/rustgd/rustgd/cgmath,2013-08-26T05:16:44Z,2024-07-21,131,144,377,183,99,Yes,62,1
helix-editor/nucleo,https://github.com/helix-editor/helix-editor/nucleo,2023-07-27T20:07:09Z,2024-11-08,15,25,48,28,16,Yes,37,23
wssheldon/osintui,https://github.com/wssheldon/wssheldon/osintui,2022-09-29T02:39:35Z,2024-07-22,22,35,27,19,4,Yes,46,2
jamesmunns/postcard,https://github.com/jamesmunns/jamesmunns/postcard,2019-04-03T23:26:26Z,2024-08-19,65,77,150,116,66,Yes,141,29
Nukesor/comfy-table,https://github.com/Nukesor/Nukesor/comfy-table,2019-12-26T18:29:21Z,2024-08-05,55,68,109,74,21,Yes,238,81
lemunozm/message-io,https://github.com/lemunozm/lemunozm/message-io,2020-07-03T19:37:30Z,2025-01-07,54,62,98,80,15,Yes,3,2
sharksforarms/deku,https://github.com/sharksforarms/sharksforarms/deku,2020-03-18T15:55:42Z,2024-07-16,52,65,313,253,40,Yes,928,377
YiNNx/cmd-wrapped,https://github.com/YiNNx/YiNNx/cmd-wrapped,2023-12-29T18:13:52Z,2024-08-31,8,20,23,22,11,Yes,18,6
SuperCuber/dotter,https://github.com/SuperCuber/SuperCuber/dotter,2017-05-06T15:10:54Z,2024-08-01,87,100,63,139,27,Yes,8,3
jrmuizel/raqote,https://github.com/jrmuizel/jrmuizel/raqote,2019-04-24T23:48:13Z,2024-07-24,63,76,79,133,26,Yes,2,1
graphql-rust/graphql-client,https://github.com/graphql-rust/graphql-rust/graphql-client,2018-06-02T20:32:06Z,2024-07-15,73,87,283,263,70,Yes,589,252
servo/core-foundation-rs,https://github.com/servo/servo/core-foundation-rs,2012-08-30T21:58:23Z,2024-07-14,142,156,582,156,192,Yes,106,45
dtolnay/inventory,https://github.com/dtolnay/dtolnay/inventory,2018-12-24T16:39:22Z,2024-07-15,67,80,44,37,12,Yes,448,14
dtolnay/no-panic,https://github.com/dtolnay/dtolnay/no-panic,2018-08-03T20:17:43Z,2024-07-15,71,85,37,37,3,Yes,457,1
TedDriggs/darling,https://github.com/TedDriggs/TedDriggs/darling,2017-05-02T02:41:17Z,2024-07-15,86,100,164,197,40,Yes,686,54
cksac/fake-rs,https://github.com/cksac/cksac/fake-rs,2016-06-29T15:56:36Z,2024-08-05,97,110,147,103,70,Yes,63,63
Ralith/hecs,https://github.com/Ralith/Ralith/hecs,2019-12-09T02:03:13Z,2024-10-01,58,69,276,130,33,Yes,248,26
amqp-rs/lapin,https://github.com/amqp-rs/amqp-rs/lapin,2017-03-02T16:10:03Z,2024-07-15,88,102,137,305,44,Yes,595,99
rust-shell-script/rust_cmd_lib,https://github.com/rust-shell-script/rust-shell-script/rust_cmd_lib,2019-09-19T18:41:05Z,2024-09-04,60,71,17,57,10,Yes,35,4
iliekturtles/uom,https://github.com/iliekturtles/iliekturtles/uom,2016-06-21T20:52:57Z,2024-08-14,98,110,247,284,60,Yes,199,59
BurntSushi/aho-corasick,https://github.com/BurntSushi/BurntSushi/aho-corasick,2015-06-11T23:02:10Z,2024-07-15,109,123,74,77,32,Yes,420,7
paupino/rust-decimal,https://github.com/paupino/paupino/rust-decimal,2016-11-12T15:43:56Z,2024-08-02,93,105,448,295,89,Yes,76,22
japaric/xargo,https://github.com/japaric/japaric/xargo,2016-03-26T20:35:55Z,2025-08-07,112,113,167,182,30,No,0,0
supabase/pg_jsonschema,https://github.com/supabase/supabase/pg_jsonschema,2022-03-22T13:17:28Z,2024-07-19,28,41,56,22,18,Yes,59,16
zargony/fuse-rs,https://github.com/zargony/zargony/fuse-rs,2013-10-08T11:13:53Z,,,143,85,85,25,No,0,0
sharkdp/diskus,https://github.com/sharkdp/sharkdp/diskus,2018-11-01T16:50:49Z,2024-10-01,71,82,23,33,12,Yes,4,4
regexident/cargo-modules,https://github.com/regexident/regexident/cargo-modules,2016-06-25T17:13:52Z,2024-07-15,97,110,294,92,25,Yes,915,73
osa1/tiny,https://github.com/osa1/osa1/tiny,2016-01-06T01:43:57Z,2024-08-06,103,116,151,285,24,Yes,20,9
uuid-rs/uuid,https://github.com/uuid-rs/uuid-rs/uuid,2014-07-30T22:03:55Z,2024-07-15,119,133,537,292,165,Yes,817,116
zkcrypto/bellman,https://github.com/zkcrypto/zkcrypto/bellman,2015-12-24T10:00:37Z,2024-07-15,103,116,80,43,19,Yes,1,6
DNSCrypt/encrypted-dns-server,https://github.com/DNSCrypt/DNSCrypt/encrypted-dns-server,2019-09-01T20:07:18Z,2024-07-17,58,72,269,65,10,Yes,533,29
ramosbugs/oauth2-rs,https://github.com/ramosbugs/ramosbugs/oauth2-rs,2014-07-02T15:15:34Z,2024-07-14,120,134,153,167,57,Yes,419,6
async-raft/async-raft,https://github.com/async-raft/async-raft/async-raft,2019-06-12T15:47:29Z,,,75,66,76,12,No,0,0
estk/log4rs,https://github.com/estk/estk/log4rs,2015-01-27T17:09:19Z,2024-07-12,113,127,187,240,55,Yes,241,63
adam-mcdaniel/dune,https://github.com/adam-mcdaniel/adam-mcdaniel/dune,2021-09-07T00:39:49Z,2024-09-07,36,48,56,49,3,Yes,1,2
idanarye/rust-typed-builder,https://github.com/idanarye/idanarye/rust-typed-builder,2017-10-04T15:41:10Z,2024-07-14,81,95,70,94,35,Yes,43,2
vorner/arc-swap,https://github.com/vorner/vorner/arc-swap,2018-03-30T11:31:31Z,2024-07-21,76,89,106,62,16,Yes,187,154
bnjbvr/cargo-machete,https://github.com/bnjbvr/bnjbvr/cargo-machete,2021-10-24T19:33:47Z,2024-08-23,34,46,114,79,31,Yes,106,28
bodil/vgtk,https://github.com/bodil/bodil/vgtk,2019-01-06T03:12:19Z,2024-07-15,66,80,58,34,10,Yes,0,27
riker-rs/riker,https://github.com/riker-rs/riker-rs/riker,2018-07-08T10:21:28Z,2024-07-15,72,86,97,84,23,Yes,348,62
dtolnay/paste,https://github.com/dtolnay/dtolnay/paste,2018-11-01T02:45:41Z,2024-07-15,68,82,51,53,9,Yes,87,3
rgwood/systemctl-tui,https://github.com/rgwood/rgwood/systemctl-tui,2023-08-16T03:02:09Z,2024-08-18,12,24,18,33,7,Yes,9,0
RustAudio/vst-rs,https://github.com/RustAudio/RustAudio/vst-rs,2017-08-13T14:46:09Z,,,96,107,89,43,No,0,0
bluealloy/revm,https://github.com/bluealloy/bluealloy/revm,2021-09-29T09:21:18Z,2024-07-14,33,47,2449,471,225,Yes,10492,1833
bitflags/bitflags,https://github.com/bitflags/bitflags/bitflags,2015-01-15T08:30:44Z,2024-07-15,114,127,264,194,87,Yes,105,16
BurntSushi/byteorder,https://github.com/BurntSushi/BurntSushi/byteorder,2015-02-03T23:28:34Z,2024-07-15,113,127,109,109,51,Yes,412,7
Manishearth/rust-gc,https://github.com/Manishearth/Manishearth/rust-gc,2015-05-17T03:31:43Z,2024-07-17,110,123,113,77,36,Yes,22,1
oxidecomputer/dropshot,https://github.com/oxidecomputer/oxidecomputer/dropshot,2020-06-19T17:18:17Z,2024-07-15,49,62,1270,138,40,Yes,1073,140
Abraxas-365/langchain-rust,https://github.com/Abraxas-365/Abraxas-365/langchain-rust,2024-01-31T14:40:00Z,2024-07-14,5,19,230,89,30,Yes,150,84
rxRust/rxRust,https://github.com/rxRust/rxRust/rxRust,2019-05-19T01:32:49Z,2024-10-25,65,75,195,59,35,Yes,5,7
fadeevab/design-patterns-rust,https://github.com/fadeevab/fadeevab/design-patterns-rust,2022-07-19T16:53:16Z,2024-12-29,29,37,15,2,5,Yes,2,2
