Project,Repo URL,Created At,First CI Run Date,Time to First CI (months),Active Period (months),Total PRs,Total Issues,Contributors,Workflows Used,Workflow Runs (Success),Workflow Runs (Failure)
tower-rs/tower-http,https://github.com/tower-rs/tower-rs/tower-http,2018-01-22T21:30:55Z,2024-07-22,78,91,369,205,83,Yes,96,42
smartcorelib/smartcore,https://github.com/smartcorelib/smartcorelib/smartcore,2019-05-08T05:14:51Z,2024-08-05,63,76,182,128,30,Yes,334,141
dyc3/steamguard-cli,https://github.com/dyc3/dyc3/steamguard-cli,2016-08-22T15:00:36Z,2024-07-16,95,108,211,180,20,Yes,235,40
nashaofu/xcap,https://github.com/nashaofu/nashaofu/xcap,2022-03-07T13:43:12Z,2024-08-11,29,42,122,112,29,Yes,112,50
dfrg/swash,https://github.com/dfrg/dfrg/swash,2021-04-29T14:29:51Z,2024-09-08,40,52,62,46,16,Yes,73,2
akula-bft/akula,https://github.com/akula-bft/akula-bft/akula,2021-01-05T22:56:47Z,,,56,284,0,20,No,0,0
microsoft/Spartan,https://github.com/microsoft/microsoft/Spartan,2019-12-16T22:03:06Z,2024-09-19,57,68,50,38,16,Yes,12,13
SergioBenitez/Figment,https://github.com/SergioBenitez/SergioBenitez/Figment,2020-10-10T10:58:01Z,2024-07-22,45,59,33,95,14,Yes,10,1
talwat/lowfi,https://github.com/talwat/talwat/lowfi,2024-09-23T19:58:50Z,2024-10-01,0,11,31,60,13,Yes,22,12
tauri-apps/window-vibrancy,https://github.com/tauri-apps/tauri-apps/window-vibrancy,2021-11-30T17:19:44Z,2024-07-15,31,45,110,74,17,Yes,644,150
ibraheemdev/papaya,https://github.com/ibraheemdev/ibraheemdev/papaya,2023-11-20T05:59:21Z,2024-07-19,8,21,44,36,7,Yes,386,66
fspoettel/advent-of-code-rust,https://github.com/fspoettel/fspoettel/advent-of-code-rust,2021-12-29T14:03:42Z,2024-09-18,33,44,47,34,15,Yes,12,0
meilisearch/heed,https://github.com/meilisearch/meilisearch/heed,2019-10-04T16:25:17Z,2024-08-11,58,71,222,116,28,Yes,136,179
rust-embedded/svd2rust,https://github.com/rust-embedded/rust-embedded/svd2rust,2016-10-09T02:47:52Z,2024-07-23,93,107,635,305,98,Yes,542,75
ccxt/binance-rs,https://github.com/ccxt/ccxt/binance-rs,2017-10-26T17:47:52Z,2024-06-22,80,94,184,78,71,Yes,22,43
dtolnay/erased-serde,https://github.com/dtolnay/dtolnay/erased-serde,2016-08-21T19:18:01Z,2024-07-15,95,108,63,50,6,Yes,420,5
robiot/rustcat,https://github.com/robiot/robiot/rustcat,2021-06-04T17:03:47Z,,,51,36,32,17,No,0,0
fu5ha/ultraviolet,https://github.com/fu5ha/fu5ha/ultraviolet,2019-10-20T09:58:39Z,2025-04-26,66,70,88,85,41,Yes,7,4
microsoft/Nova,https://github.com/microsoft/microsoft/Nova,2021-07-22T17:39:31Z,2024-08-19,37,49,348,58,44,Yes,281,42
jonasbb/serde_with,https://github.com/jonasbb/jonasbb/serde_with,2017-08-17T22:20:21Z,2024-07-14,83,96,635,181,53,Yes,909,73
alloy-rs/alloy,https://github.com/alloy-rs/alloy-rs/alloy,2023-04-17T23:31:47Z,2024-07-14,15,28,2123,678,223,Yes,5547,909
Nilirad/bevy_prototype_lyon,https://github.com/Nilirad/Nilirad/bevy_prototype_lyon,2020-09-07T17:19:02Z,2024-07-14,46,60,187,97,25,Yes,103,60
RustCrypto/AEADs,https://github.com/RustCrypto/RustCrypto/AEADs,2019-08-16T19:26:22Z,2024-07-15,59,72,582,123,45,Yes,3811,405
linebender/runebender,https://github.com/linebender/linebender/runebender,2019-05-22T15:15:02Z,,,75,191,80,12,No,0,0
matklad/xshell,https://github.com/matklad/matklad/xshell,2020-10-15T22:52:14Z,2024-07-15,45,58,54,47,14,Yes,18,27
hyperium/h3,https://github.com/hyperium/hyperium/h3,2020-06-12T18:24:22Z,2024-07-25,49,62,215,93,42,Yes,123,77
rust-analyzer/rowan,https://github.com/rust-analyzer/rust-analyzer/rowan,2018-10-02T13:48:24Z,2024-08-16,70,83,142,59,36,Yes,39,9
paritytech/jsonrpsee,https://github.com/paritytech/paritytech/jsonrpsee,2019-09-02T12:36:28Z,2024-07-10,58,72,1041,535,90,Yes,1264,141
gimli-rs/object,https://github.com/gimli-rs/gimli-rs/object,2016-08-19T20:41:55Z,2024-07-18,95,108,587,210,108,Yes,188,35
RustCrypto/password-hashes,https://github.com/RustCrypto/RustCrypto/password-hashes,2017-08-16T08:31:50Z,2024-07-15,83,96,513,111,54,Yes,3130,281
rust-secure-code/cargo-auditable,https://github.com/rust-secure-code/rust-secure-code/cargo-auditable,2019-01-12T19:14:19Z,2024-07-23,66,79,114,105,15,Yes,505,49
mattsse/voyager,https://github.com/mattsse/mattsse/voyager,2020-12-22T10:26:48Z,2024-12-13,48,56,9,10,6,Yes,0,2
boinkor-net/governor,https://github.com/boinkor-net/boinkor-net/governor,2019-11-15T03:25:24Z,2024-07-19,56,69,214,65,25,Yes,875,58
jam1garner/binrw,https://github.com/jam1garner/jam1garner/binrw,2020-10-31T19:19:07Z,2024-10-13,47,58,112,173,29,Yes,35,14
twilight-rs/twilight,https://github.com/twilight-rs/twilight-rs/twilight,2019-09-01T18:59:16Z,2024-07-14,58,72,1839,581,97,Yes,761,604
rhysd/kiro-editor,https://github.com/rhysd/rhysd/kiro-editor,2019-08-25T14:59:44Z,,,72,8,10,7,No,0,0
mlange-42/git-graph,https://github.com/mlange-42/mlange-42/git-graph,2020-12-07T22:40:35Z,2025-01-19,49,57,49,54,9,Yes,23,12
veeso/tui-realm,https://github.com/veeso/veeso/tui-realm,2021-04-07T15:42:01Z,2024-10-12,42,53,52,60,14,Yes,376,50
tikv/minitrace-rust,https://github.com/tikv/tikv/minitrace-rust,2020-05-28T03:17:25Z,2024-07-16,50,63,156,78,24,Yes,19,13
dtolnay/reflect,https://github.com/dtolnay/dtolnay/reflect,2018-05-14T14:51:32Z,2024-07-15,74,87,11,28,4,Yes,413,12
lipanski/mockito,https://github.com/lipanski/lipanski/mockito,2016-01-10T22:18:04Z,2024-07-31,103,116,114,103,39,Yes,41,3
davidB/kubectl-view-allocations,https://github.com/davidB/davidB/kubectl-view-allocations,2019-09-08T17:25:00Z,2024-07-29,59,72,231,58,9,Yes,196,35
jprochazk/garde,https://github.com/jprochazk/jprochazk/garde,2023-03-25T01:17:12Z,2024-07-23,16,29,62,81,16,Yes,19,13
yassinebridi/serpl,https://github.com/yassinebridi/yassinebridi/serpl,2024-06-20T22:27:13Z,2024-07-16,1,14,15,28,6,Yes,13,9
servo/font-kit,https://github.com/servo/servo/font-kit,2018-06-14T19:04:42Z,2024-07-18,73,86,151,115,64,Yes,30,12
cmyr/cargo-instruments,https://github.com/cmyr/cmyr/cargo-instruments,2019-03-16T23:44:23Z,2025-02-10,71,77,63,52,22,Yes,44,3
bee-san/Ares,https://github.com/bee-san/bee-san/Ares,2021-08-18T08:20:30Z,2025-02-23,42,48,390,76,13,Yes,552,417
jeromefroe/lru-rs,https://github.com/jeromefroe/jeromefroe/lru-rs,2016-12-12T02:20:34Z,2024-07-13,91,105,159,58,61,Yes,31,10
dirs-dev/dirs-rs,https://github.com/dirs-dev/dirs-dev/dirs-rs,2018-05-01T20:39:46Z,2025-01-12,80,88,23,40,14,Yes,1,0
LukeMathWalker/wiremock-rs,https://github.com/LukeMathWalker/LukeMathWalker/wiremock-rs,2020-04-12T08:50:26Z,2024-07-15,51,65,103,71,43,Yes,365,109
dtolnay/dyn-clone,https://github.com/dtolnay/dtolnay/dyn-clone,2018-01-13T21:47:14Z,2024-07-15,78,91,18,17,3,Yes,437,10
owo-colors/owo-colors,https://github.com/owo-colors/owo-colors/owo-colors,2020-08-25T06:18:42Z,2024-09-04,48,60,96,53,24,Yes,378,23
avr-rust/ruduino,https://github.com/avr-rust/avr-rust/ruduino,2016-07-06T23:27:41Z,2024-07-15,96,110,16,35,6,No,0,0
taiki-e/cargo-hack,https://github.com/taiki-e/taiki-e/cargo-hack,2019-10-29T19:35:29Z,2024-07-15,57,70,170,113,17,Yes,873,53
