Project,Bug Issues Before CI,Bug Issues After CI
athre0z/color-backtrace,17,0
alceal/plotlars,0,6
sharkdp/vivid,19,5
hanshuaikang/Nping,0,10
rust-phf/rust-phf,56,6
esp-rs/esp-idf-hal,115,32
robertpsoane/ducker,1,4
est31/cargo-udeps,64,7
JelteF/derive_more,94,36
pradt2/always-online-stun,3,2
bahdotsh/wrkflw,2,25
dotenv-linter/dotenv-linter,52,2
algesten/ureq,142,64
colored-rs/colored,16,7
dtolnay/case-studies,6,1
rust-lang/git2-rs,266,33
Keats/jsonwebtoken,94,10
J-F-Liu/lopdf,67,44
RustCrypto/traits,76,16
fitzgen/bumpalo,42,9
alexykn/sps,0,12
pop-os/cosmic-text,48,27
fabianlindfors/reshape,4,1
google/argh,43,2
rust-random/rand,265,35
tauri-apps/tao,116,34
rust-fuzz/afl.rs,68,9
vincent-herlemont/native_db,17,17
rust-embedded/heapless,69,15
latex-lsp/texlab,192,31
jkfran/killport,6,0
Macchina-CLI/macchina,86,13
kkawakam/rustyline,102,7
bitshifter/glam-rs,61,16
ufoscout/docker-compose-wait,20,0
asomers/mockall,177,26
rust-fuzz/cargo-fuzz,111,11
iovxw/rssbot,26,0
fltk-rs/fltk-rs,223,21
queer/boxxy,11,3
yamafaktory/jql,13,1
ilai-deutel/kibi,11,1
samwho/spacer,6,2
pythops/oryx,0,7
zmwangx/rust-ffmpeg,49,14
m1guelpf/plz-cli,7,0
EmbarkStudios/puffin,29,4
greyblake/nutype,34,15
bnjbvr/rouille,1,0
barter-rs/barter-rs,6,23
mooman219/fontdue,0,0
kevinmehall/rust-peg,118,9
bodil/im-rs,50,1
rust-av/Av1an,186,62
pdf-rs/pdf,64,8
cessen/ropey,17,6
orium/rpds,6,0
servo/rust-smallvec,44,2
fereidani/kanal,15,4
LeeeSe/MessAuto,3,2
databricks/click,46,0
regolith-labs/ore-cli,24,15
rust-lang/polonius,18,0
tikv/pprof-rs,46,2
Aleph-Alpha/ts-rs,70,26
orhun/gpg-tui,24,4
geiger-rs/cargo-geiger,60,3
fornwall/rust-script,30,5
console-rs/dialoguer,52,1
kaist-cp/cs431,403,6
colin-kiegel/rust-derive-builder,102,9
jacobdeichert/mask,15,0
tokio-rs/io-uring,42,11
SeaQL/sea-query,111,15
jakobhellermann/bevy-inspector-egui,45,13
dtolnay/quote,69,4
golemparts/rppal,52,11
tarkah/tickrs,28,2
dimforge/bevy_rapier,149,23
grovesNL/glow,31,5
dtolnay/typetag,32,5
tafia/quick-xml,266,31
nagisa/rust_libloading,64,2
max-niederman/ttyper,24,3
orhun/systeroid,11,2
wormtql/yas,30,2
enigo-rs/enigo,62,28
Eugeny/russh,71,49
Marwes/combine,88,0
Stebalien/tempfile,58,11
tokio-rs/tokio-uring,34,5
kbknapp/cargo-outdated,115,7
Chleba/netscanner,15,7
gorilla-devs/ferium,125,21
quantumsheep/sshs,19,8
3Hren/msgpack-rust,99,6
EFForg/apkeep,18,7
wooorm/markdown-rs,17,16
obi1kenobi/cargo-semver-checks,195,102
itsjunetime/tdf,16,18
hyperium/http,105,9
hoodie/notify-rust,32,4
zkat/big-brain,15,2
burtonageo/cargo-bundle,40,4
cyphar/paperback,6,1
sharkdp/binocle,10,0
mufeedvh/pdfrip,16,2
time-rs/time,204,20
XAMPPRocky/octocrab,77,16
m-ou-se/inline-python,25,0
nats-io/nats.rs,181,42
nvzqz/divan,12,5
blst-security/cherrybomb,38,1
brendanzab/codespan,57,3
rustgd/cgmath,51,2
helix-editor/nucleo,6,5
wssheldon/osintui,4,0
jamesmunns/postcard,39,18
lemunozm/message-io,30,1
Nukesor/comfy-table,24,5
YiNNx/cmd-wrapped,3,1
sharksforarms/deku,104,33
rust-num/num,64,3
SuperCuber/dotter,62,9
graphql-rust/graphql-client,112,10
jrmuizel/raqote,27,0
dtolnay/inventory,14,3
paupino/rust-decimal,102,20
servo/core-foundation-rs,50,4
TedDriggs/darling,95,23
dtolnay/no-panic,25,3
Ralith/hecs,40,5
cksac/fake-rs,24,15
rust-shell-script/rust_cmd_lib,19,6
amqp-rs/lapin,156,16
iliekturtles/uom,96,12
BurntSushi/aho-corasick,24,5
regexident/cargo-modules,38,7
supabase/pg_jsonschema,13,2
sharkdp/diskus,11,0
osa1/tiny,98,4
uuid-rs/uuid,106,11
DNSCrypt/encrypted-dns-server,20,0
ramosbugs/oauth2-rs,82,17
async-raft/async-raft,36,0
estk/log4rs,78,7
adam-mcdaniel/dune,18,5
idanarye/rust-typed-builder,34,8
vorner/arc-swap,22,3
bnjbvr/cargo-machete,14,12
bodil/vgtk,18,0
dtolnay/paste,35,0
bluealloy/revm,114,94
rgwood/systemctl-tui,4,6
riker-rs/riker,27,0
bitflags/bitflags,91,5
oxidecomputer/dropshot,63,12
foyer-rs/foyer,34,33
Manishearth/rust-gc,23,1
BurntSushi/byteorder,41,2
Abraxas-365/langchain-rust,13,20
rxRust/rxRust,23,1
fadeevab/design-patterns-rust,2,0
Canop/termimad,15,1
g1mv/density,22,1
mrjackwills/oxker,15,13
i3visio/solana-mev-bot,0,0
JakWai01/lurk,7,2
tokio-rs/turmoil,18,9
