Project,Bug Issues Before CI,Bug Issues After CI
a16z/magi,26,0
dtolnay/semver,66,1
serialport/serialport-rs,46,16
open-source-cooperative/keyring-rs,37,18
dimforge/salva,12,0
RazrFalcon/pico-args,12,1
frondeus/test-case,33,2
narrowlink/narrowlink,10,1
zesterer/pollster,1,0
chipsenkbeil/distant,67,3
ruma/ruma,150,18
gschup/ggrs,20,6
dropbox/pb-jelly,7,0
kawasin73/prsqlite,3,0
baoyachi/shadow-rs,20,13
seanmonstar/num_cpus,13,0
dotenv-rs/dotenv,24,0
zaeleus/noodles,84,26
NilsIrl/MozWire,13,1
microsoft/com-rs,43,0
RustCrypto/RSA,70,18
NiklasEi/bevy_asset_loader,54,5
mullvad/windows-service-rs,25,1
typst/pdf-writer,5,0
gltf-rs/gltf,58,5
rharish101/ReGreet,23,19
athre0z/color-backtrace,17,0
alceal/plotlars,0,6
sharkdp/vivid,19,5
hanshuaikang/Nping,0,10
rust-phf/rust-phf,56,5
esp-rs/esp-idf-hal,112,34
est31/cargo-udeps,64,7
robertpsoane/ducker,1,4
pradt2/always-online-stun,3,1
JelteF/derive_more,94,36
dotenv-linter/dotenv-linter,50,4
bahdotsh/wrkflw,2,22
RustCrypto/traits,76,15
colored-rs/colored,16,6
dtolnay/case-studies,6,1
rust-lang/git2-rs,266,31
algesten/ureq,140,64
Keats/jsonwebtoken,94,10
J-F-Liu/lopdf,67,44
fitzgen/bumpalo,42,9
alexykn/sps,0,12
google/argh,43,2
pop-os/cosmic-text,46,29
fabianlindfors/reshape,4,1
rust-random/rand,262,38
latex-lsp/texlab,190,33
rust-embedded/heapless,68,15
rust-fuzz/afl.rs,67,10
tauri-apps/tao,116,33
vincent-herlemont/native_db,15,19
jkfran/killport,6,0
Macchina-CLI/macchina,86,13
kkawakam/rustyline,102,7
asomers/mockall,176,26
ufoscout/docker-compose-wait,20,0
bitshifter/glam-rs,59,18
rust-fuzz/cargo-fuzz,111,10
fltk-rs/fltk-rs,222,22
iovxw/rssbot,27,0
ilai-deutel/kibi,11,1
queer/boxxy,10,4
yamafaktory/jql,13,1
samwho/spacer,6,2
pythops/oryx,0,6
zmwangx/rust-ffmpeg,48,14
greyblake/nutype,34,15
EmbarkStudios/puffin,29,4
barter-rs/barter-rs,6,23
bnjbvr/rouille,1,0
mooman219/fontdue,23,2
kevinmehall/rust-peg,118,9
bodil/im-rs,50,1
rust-av/Av1an,185,60
orium/rpds,6,0
pdf-rs/pdf,64,8
cessen/ropey,17,4
servo/rust-smallvec,44,2
LeeeSe/MessAuto,3,2
fereidani/kanal,15,4
databricks/click,46,0
regolith-labs/ore-cli,24,15
tikv/pprof-rs,46,2
rust-lang/polonius,18,0
Aleph-Alpha/ts-rs,69,25
orhun/gpg-tui,23,5
geiger-rs/cargo-geiger,60,3
fornwall/rust-script,30,5
console-rs/dialoguer,52,0
kaist-cp/cs431,402,7
avhz/RustQuant,27,5
colin-kiegel/rust-derive-builder,101,10
jacobdeichert/mask,15,0
tokio-rs/io-uring,41,11
dtolnay/quote,69,4
SeaQL/sea-query,111,15
jakobhellermann/bevy-inspector-egui,43,15
golemparts/rppal,52,11
tarkah/tickrs,28,2
dimforge/bevy_rapier,147,25
dtolnay/typetag,32,5
tafia/quick-xml,258,38
grovesNL/glow,31,4
nagisa/rust_libloading,58,8
max-niederman/ttyper,24,3
orhun/systeroid,11,1
wormtql/yas,30,1
enigo-rs/enigo,60,30
Stebalien/tempfile,58,11
Marwes/combine,88,0
Eugeny/russh,69,50
kbknapp/cargo-outdated,114,8
tokio-rs/tokio-uring,34,5
gorilla-devs/ferium,125,21
quantumsheep/sshs,19,8
3Hren/msgpack-rust,99,6
Chleba/netscanner,15,6
obi1kenobi/cargo-semver-checks,193,100
EFForg/apkeep,18,7
itsjunetime/tdf,16,18
wooorm/markdown-rs,17,15
hyperium/http,105,8
zkat/big-brain,14,3
hoodie/notify-rust,32,4
burtonageo/cargo-bundle,40,4
cyphar/paperback,5,2
mufeedvh/pdfrip,16,2
sharkdp/binocle,10,0
XAMPPRocky/octocrab,77,15
time-rs/time,203,19
m-ou-se/inline-python,25,0
nats-io/nats.rs,178,42
brendanzab/codespan,57,3
nvzqz/divan,12,5
blst-security/cherrybomb,38,1
rustgd/cgmath,51,2
helix-editor/nucleo,6,5
wssheldon/osintui,4,0
jamesmunns/postcard,39,18
Nukesor/comfy-table,24,5
lemunozm/message-io,30,1
sharksforarms/deku,103,33
YiNNx/cmd-wrapped,3,1
SuperCuber/dotter,62,9
jrmuizel/raqote,27,1
graphql-rust/graphql-client,111,11
servo/core-foundation-rs,50,4
dtolnay/inventory,14,3
dtolnay/no-panic,25,3
TedDriggs/darling,95,21
cksac/fake-rs,24,14
Ralith/hecs,40,4
amqp-rs/lapin,156,16
rust-shell-script/rust_cmd_lib,19,6
iliekturtles/uom,96,11
BurntSushi/aho-corasick,24,5
paupino/rust-decimal,102,20
japaric/xargo,119,1
supabase/pg_jsonschema,13,2
sharkdp/diskus,11,0
regexident/cargo-modules,38,7
osa1/tiny,98,4
uuid-rs/uuid,106,11
zkcrypto/bellman,8,0
DNSCrypt/encrypted-dns-server,20,0
ramosbugs/oauth2-rs,82,16
estk/log4rs,75,10
adam-mcdaniel/dune,18,5
idanarye/rust-typed-builder,34,8
vorner/arc-swap,22,3
bnjbvr/cargo-machete,14,12
bodil/vgtk,18,0
riker-rs/riker,27,0
dtolnay/paste,35,0
rgwood/systemctl-tui,4,6
bluealloy/revm,109,98
bitflags/bitflags,91,5
BurntSushi/byteorder,41,2
Manishearth/rust-gc,23,1
oxidecomputer/dropshot,62,13
Abraxas-365/langchain-rust,13,20
rxRust/rxRust,23,1
fadeevab/design-patterns-rust,2,0
Canop/termimad,15,1
foyer-rs/foyer,34,32
g1mv/density,22,1
mrjackwills/oxker,15,13
i3visio/solana-mev-bot,0,0
rust-lang/flate2-rs,101,13
JakWai01/lurk,6,3
ZenGo-X/multi-party-ecdsa,35,1
tokio-rs/turmoil,18,9
facebookexperimental/MIRAI,79,2
RustAudio/dasp,18,1
Razaekel/noise-rs,38,1
johanhelsing/matchbox,57,10
crossterm-rs/crossterm,268,33
tower-rs/tower,105,18
sfackler/rust-postgres,424,26
casbin/casbin-rs,28,2
xacrimon/dashmap,69,10
Findomain/Findomain,62,0
ron-rs/ron,90,13
rust-unofficial/too-many-lists,44,5
oxipng/oxipng,89,12
rkyv/rkyv,161,38
chronotope/chrono,280,17
lapce/floem,44,31
Aloxaf/silicon,38,6
TimelyDataflow/timely-dataflow,84,5
tikv/raft-rs,67,3
Amanieu/parking_lot,100,5
racer-rust/racer,326,0
YS-L/csvlens,16,8
rust-itertools/itertools,99,14
greshake/i3status-rust,465,28
Julien-cpsn/ATAC,14,18
atanunq/viu,23,0
rust-lang/hashbrown,75,18
zesterer/flume,30,3
TimelyDataflow/differential-dataflow,74,15
juhaku/utoipa,217,150
dtolnay/cargo-expand,68,1
ihciah/shadow-tls,21,3
TheDan64/inkwell,158,21
tokio-rs/loom,54,7
rust-lang/log,150,12
mikaelmello/inquire,51,9
rust-embedded/embedded-hal,111,13
Keats/validator,111,11
zkat/miette,136,18
chinedufn/percy,44,3
Jondolf/avian,67,76
rajasekarv/vega,13,0
kube-rs/kube,302,55
memorysafety/river,4,4
shshemi/tabiew,3,24
LukeMathWalker/cargo-chef,97,16
vnt-dev/vnt,9,8
snapview/tokio-tungstenite,117,9
Xudong-Huang/may,17,3
rust-scraper/scraper,28,14
std-microblock/BetterNCM-Installer,4,0
zhiburt/tabled,51,13
Peternator7/strum,83,10
indexmap-rs/indexmap,37,7
Storyyeller/Krakatau,118,0
ntex-rs/ntex,61,6
snapview/tungstenite-rs,99,18
tokio-rs/bytes,112,13
rust-windowing/glutin,280,7
microsoft/windows-drivers-rs,24,27
dtolnay/async-trait,127,10
RustAudio/rodio,116,50
zesterer/ariadne,41,8
rust-lang-nursery/lazy-static.rs,55,2
EmbarkStudios/cargo-deny,170,47
moka-rs/moka,52,16
ryanmcgrath/cacao,27,7
matklad/once_cell,33,2
tafia/calamine,91,24
jonhoo/left-right,21,0
TheAlgorithms/Rust,15,4
rustic-rs/rustic,157,82
HigherOrderCO/Bend,86,45
0x192/universal-android-debloater,330,16
rayon-rs/rayon,204,15
microsoft/edit,62,50
orf/gping,61,1
rathole-org/rathole,85,7
imsnif/bandwhich,73,3
cloudflare/pingora,72,86
Spotifyd/spotifyd,503,23
seanmonstar/warp,308,6
sharkdp/hexyl,33,4
rust-bakery/nom,515,26
RustCrypto/hashes,73,7
serde-rs/serde,1072,70
jpochyla/psst,143,54
actix/actix,134,1
vi/websocat,100,17
mainmatter/100-exercises-to-learn-rust,12,23
dtolnay/anyhow,179,16
sharkdp/pastel,24,3
rust-lang/futures-rs,522,17
ynqa/jnv,7,6
linkerd/linkerd2-proxy,0,0
flamegraph-rs/flamegraph,83,8
image-rs/image,463,46
serde-rs/json,406,37
WebAssembly/WASI,81,2
PaulJuliusMartinez/jless,33,2
tealdeer-rs/tealdeer,48,14
