name,Last Commit Date,Total Commits (since inception),Avg Commits/Weekday (Mon–Fri)
indexmap-rs/indexmap,2025-08-22,948,0.32
talwat/lowfi,2025-08-21,189,0.69
ccxt/binance-rs,2025-08-21,523,0.19
twilight-rs/twilight,2025-08-21,2629,1.04
mbrubeck/agate,2025-08-21,665,0.39
nushell/reedline,2025-08-21,619,0.41
dotenv-linter/dotenv-linter,2025-08-21,463,0.25
microsoft/windows-drivers-rs,2025-08-21,176,0.34
LeeeSe/MessAuto,2025-08-21,159,0.19
itsjunetime/tdf,2025-08-21,100,0.19
idanarye/rust-typed-builder,2025-08-21,355,0.12
mrjackwills/oxker,2025-08-21,1046,0.87
tikv/raft-rs,2025-08-21,750,0.27
Xudong-Huang/may,2025-08-21,584,0.24
RustCrypto/hashes,2025-08-21,615,0.23
TheAlgorithms/Rust,2025-08-21,679,0.26
n0-computer/iroh,2025-08-21,1916,2.73
general-works/Glint,2025-08-20,6,0.06
pendulum-project/ntpd-rs,2025-08-20,2857,3.14
bbqsrc/cargo-ndk,2025-08-20,266,0.08
ccbrown/iocraft,2025-08-20,209,0.68
Aleph-Alpha/ts-rs,2025-08-20,682,0.5
Stebalien/tempfile,2025-08-20,479,0.12
greshake/i3status-rust,2025-08-20,3580,1.16
tokio-rs/bytes,2025-08-20,546,0.17
EmbarkStudios/cargo-deny,2025-08-20,510,0.28
flamegraph-rs/flamegraph,2025-08-20,384,0.21
orhun/ratzilla,2025-08-19,165,0.8
djc/bb8,2025-08-19,352,0.14
hyperium/h3,2025-08-19,260,0.17
n0-computer/sendme,2025-08-19,112,0.25
makeecat/Peng,2025-08-19,177,0.5
sharkdp/vivid,2025-08-19,295,0.09
alexykn/sps,2025-08-19,372,2.38
tokio-rs/tokio,2025-08-19,4192,1.46
seanmonstar/warp,2025-08-19,596,0.28
fast/fastrace,2025-08-18,265,0.16
rust-osdev/bootimage,2025-08-18,366,0.15
RustCrypto/AEADs,2025-08-18,650,0.3
fltk-rs/fltk-rs,2025-08-18,3761,1.75
chronotope/chrono,2025-08-18,1729,0.47
kube-rs/kube,2025-08-18,2648,1.14
jonasbb/serde_with,2025-08-17,1632,0.52
algesten/ureq,2025-08-17,1248,0.38
kkawakam/rustyline,2025-08-17,1966,0.36
burtonageo/cargo-bundle,2025-08-17,403,0.11
DNSCrypt/encrypted-dns-server,2025-08-17,510,0.24
rust-scraper/scraper,2025-08-17,417,0.12
