model,cv_log_rmse_mean,cv_log_rmse_std
gbr,0.13036636084066794,0.0179209402145172
hgbr,0.13615837595882221,0.017453225027134416
rf,0.14206244988559016,0.017786357822024517
lasso,0.1462972148916392,0.04135900774574462
ridge,0.14698231202153256,0.03979646559427291
