mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg__regressor__learning_rate,param_reg__regressor__max_depth,param_reg__regressor__max_features,param_reg__regressor__min_samples_leaf,param_reg__regressor__n_estimators,param_reg__regressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.3202086925506595,0.2806965018401041,0.22129855155944825,0.014197500909458536,0.03912720785647401,2,log2,3,471,0.8996646210492591,"{'reg__regressor__learning_rate': np.float64(0.03912720785647401), 'reg__regressor__max_depth': 2, 'reg__regressor__max_features': 'log2', 'reg__regressor__min_samples_leaf': 3, 'reg__regressor__n_estimators': 471, 'reg__regressor__subsample': np.float64(0.8996646210492591)}",-0.14135572241429062,-0.12330070870587435,-0.1589719510010728,-0.13661829850795168,-0.11363001596620415,-0.13477533931907873,0.01556255637450303,45
8.66675705909729,0.3896603237281658,0.2198462963104248,0.008039342527901654,0.026450634586450826,4,log2,3,858,0.9665440364437338,"{'reg__regressor__learning_rate': np.float64(0.026450634586450826), 'reg__regressor__max_depth': 4, 'reg__regressor__max_features': 'log2', 'reg__regressor__min_samples_leaf': 3, 'reg__regressor__n_estimators': 858, 'reg__regressor__subsample': np.float64(0.9665440364437338)}",-0.1333492437048671,-0.11567642756654205,-0.1546452175695778,-0.12417133347958953,-0.10905336430843286,-0.12737911732580184,0.015888100452506985,8
9.600932312011718,0.47824374376029827,0.2093301773071289,0.0062513489137464425,0.05872031730223161,4,sqrt,5,743,0.9581106602001055,"{'reg__regressor__learning_rate': np.float64(0.05872031730223161), 'reg__regressor__max_depth': 4, 'reg__regressor__max_features': 'sqrt', 'reg__regressor__min_samples_leaf': 5, 'reg__regressor__n_estimators': 743, 'reg__regressor__subsample': np.float64(0.9581106602001055)}",-0.13750861203263,-0.11460508941140861,-0.15981706565986745,-0.12440040516169734,-0.10579821047579761,-0.12842587654828022,0.018905727632507523,15
32.54660201072693,1.0349909262842922,0.22102155685424804,0.023972020465265587,0.029259165815356234,2,,4,713,0.8811891079080595,"{'reg__regressor__learning_rate': np.float64(0.029259165815356234), 'reg__regressor__max_depth': 2, 'reg__regressor__max_features': None, 'reg__regressor__min_samples_leaf': 4, 'reg__regressor__n_estimators': 713, 'reg__regressor__subsample': np.float64(0.8811891079080595)}",-0.12841447143717286,-0.11496398640307544,-0.16477280902052902,-0.12887449712311,-0.11812014143371787,-0.13102918108352105,0.01774736927353455,33
8.587504339218139,0.6016231781828071,0.28139796257019045,0.07042728002480345,0.0433659187733839,2,log2,3,910,0.7848734651630105,"{'reg__regressor__learning_rate': np.float64(0.0433659187733839), 'reg__regressor__max_depth': 2, 'reg__regressor__max_features': 'log2', 'reg__regressor__min_samples_leaf': 3, 'reg__regressor__n_estimators': 910, 'reg__regressor__subsample': np.float64(0.7848734651630105)}",-0.134014716631228,-0.12073661816128635,-0.1588289967403418,-0.12768240932475525,-0.11028182091774445,-0.13030891235507117,0.01628950536029753,26
13.524780750274658,0.5091057469104041,0.27034635543823243,0.05267573646453961,0.03375691259416854,4,sqrt,3,966,0.995807721451697,"{'reg__regressor__learning_rate': np.float64(0.03375691259416854), 'reg__regressor__max_depth': 4, 'reg__regressor__max_features': 'sqrt', 'reg__regressor__min_samples_leaf': 3, 'reg__regressor__n_estimators': 966, 'reg__regressor__subsample': np.float64(0.995807721451697)}",-0.13149302347938027,-0.11084956371914235,-0.15650064097910044,-0.12218154677482644,-0.10748351047109884,-0.12570165708470965,0.017589735948061052,3
6.501590824127197,0.4576118555704869,0.27852764129638674,0.12698103982412332,0.046157483666136735,2,log2,5,566,0.7533162402899667,"{'reg__regressor__learning_rate': np.float64(0.046157483666136735), 'reg__regressor__max_depth': 2, 'reg__regressor__max_features': 'log2', 'reg__regressor__min_samples_leaf': 5, 'reg__regressor__n_estimators': 566, 'reg__regressor__subsample': np.float64(0.7533162402899667)}",-0.14247935196342582,-0.12669365098310814,-0.16005711921865137,-0.12848297128949104,-0.11334566651572804,-0.1342117519940809,0.01588125001747918,44
9.702838802337647,0.4309163414341216,0.22593398094177247,0.04903029123590995,0.10819457118099005,3,sqrt,2,745,0.774418028501596,"{'reg__regressor__learning_rate': np.float64(0.10819457118099005), 'reg__regressor__max_depth': 3, 'reg__regressor__max_features': 'sqrt', 'reg__regressor__min_samples_leaf': 2, 'reg__regressor__n_estimators': 745, 'reg__regressor__subsample': np.float64(0.774418028501596)}",-0.12958581412609418,-0.12032346859378922,-0.16720229676094053,-0.12233179716127239,-0.11141615199012476,-0.13017190572644421,0.01940015813347255,23
9.142047548294068,0.5443086696080498,0.2052633285522461,0.03834219825874438,0.06815014446610265,4,log2,4,908,0.9582987279340411,"{'reg__regressor__learning_rate': np.float64(0.06815014446610265), 'reg__regressor__max_depth': 4, 'reg__regressor__max_features': 'log2', 'reg__regressor__min_samples_leaf': 4, 'reg__regressor__n_estimators': 908, 'reg__regressor__subsample': np.float64(0.9582987279340411)}",-0.13844473144478986,-0.11878078006193482,-0.15782228378190255,-0.12431179777856226,-0.11400867903706782,-0.13067365442085146,0.015856057513088422,29
4.836115789413452,0.29957713911489237,0.1766270637512207,0.01421329802323895,0.02728562571955819,2,sqrt,4,401,0.8562889686228112,"{'reg__regressor__learning_rate': np.float64(0.02728562571955819), 'reg__regressor__max_depth': 2, 'reg__regressor__max_features': 'sqrt', 'reg__regressor__min_samples_leaf': 4, 'reg__regressor__n_estimators': 401, 'reg__regressor__subsample': np.float64(0.8562889686228112)}",-0.13996327079514645,-0.12491103386361901,-0.16080733572827022,-0.13745233193573544,-0.11522399715696208,-0.13567159389594666,0.01540966515304052,47
