name,Last Commit Date,Total Commits (Last 90d),Avg Commits/Weekday (Mon–Fri),Infrequent (<2.36)
servo/ipc-channel,2025-08-28,12,0.18,Yes
utkarshkukreti/select.rs,2025-03-19,0,0.0,Yes
